"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R780","2020-05-13 00:00:00","72.000","17.000","6.000","25.300","0.850","1006.000","","0.000","-99.000","-99.000","-99.000","31.200","","24.700",""
"C0R620","2020-05-13 00:00:00","34.000","31.000","4.600","25.400","0.880","1009.200","","0.000","10.300","20.000","","30.400","","25.300",""
"C0M760","2020-05-13 00:00:00","40.000","257.000","0.600","23.900","0.910","1007.400","","0.000","-99.000","-99.000","-99.000","29.000","","23.900",""
"C0AH70","2020-05-13 00:00:00","34.000","77.000","1.800","23.000","0.720","1010.600","","16.000","-99.000","-99.000","-99.000","24.200","","22.200",""
"C0V250","2020-05-13 00:00:00","298.000","17.000","0.900","23.300","0.990","978.000","","58.000","-99.000","-99.000","-99.000","31.600","","22.600",""
"C0U980","2020-05-13 00:00:00","573.000","105.000","1.400","18.100","0.980","951.700","","10.000","-99.000","-99.000","-99.000","21.700","","17.100",""
"C0S740","2020-05-13 00:00:00","289.000","13.000","2.300","20.800","0.980","982.400","","2.500","-99.000","-99.000","-99.000","29.900","","20.800",""
"C0A940","2020-05-13 00:00:00","49.000","247.000","0.300","20.600","0.990","1009.500","","7.000","-99.000","-99.000","-99.000","22.700","","20.500",""
"C0A920","2020-05-13 00:00:00","196.000","117.000","2.700","21.200","0.870","991.200","","12.500","8.200","111.000","","22.500","","20.100",""
"C0T870","2020-05-13 00:00:00","135.000","0.000","0.000","21.200","0.990","999.200","","12.000","-99.000","-99.000","-99.000","26.700","","21.000",""
"C0O930","2020-05-13 00:00:00","69.000","59.000","0.900","23.400","1.000","1003.800","","19.000","-99.000","-99.000","-99.000","30.500","","23.400",""
"C0AI40","2020-05-13 00:00:00","37.000","113.000","0.400","24.200","0.700","1010.200","","5.500","-99.000","-99.000","-99.000","24.900","","23.000",""
"C0C460","2020-05-13 00:00:00","482.000","0.000","0.000","21.100","0.890","959.400","","15.500","-99.000","-99.000","-99.000","22.400","","20.600",""
"C0E520","2020-05-13 00:00:00","320.000","0.000","0.000","20.100","1.000","976.700","","0.500","-99.000","-99.000","-99.000","26.200","","20.100",""
"C0T9D0","2020-05-13 00:00:00","7.000","0.000","0.100","21.800","1.000","1014.800","","4.500","-99.000","-99.000","-99.000","26.700","","21.600",""
"C0I390","2020-05-13 00:00:00","1184.000","96.000","1.200","17.900","0.990","886.600","","6.500","-99.000","-99.000","-99.000","22.500","","17.600",""
"C0B020","2020-05-13 00:00:00","86.000","99.000","2.700","22.600","0.850","1003.400","","-99.000","-99.000","-99.000","-99.000","22.600","","20.600",""
"CM0170","2020-05-13 00:00:00","106.000","78.000","1.400","22.800","0.990","1000.700","","5.000","-99.000","-99.000","-99.000","27.500","","22.800",""
"C0F860","2020-05-13 00:00:00","2215.000","0.000","0.000","11.500","1.000","782.900","","20.000","-99.000","-99.000","-99.000","17.700","","11.500",""
"C0U890","2020-05-13 00:00:00","116.000","0.000","0.200","21.700","0.990","1002.900","","3.500","-99.000","-99.000","-99.000","25.500","","21.100",""
"C0G800","2020-05-13 00:00:00","15.000","25.000","1.900","24.000","0.990","1009.600","","0.000","-99.000","-99.000","-99.000","26.800","","23.700",""
"C0F850","2020-05-13 00:00:00","379.000","0.000","0.100","21.800","0.990","968.800","","16.000","-99.000","-99.000","-99.000","27.900","","21.800",""
"C0AH50","2020-05-13 00:00:00","275.000","86.000","4.900","21.100","0.990","982.200","","8.500","-99.000","-99.000","-99.000","22.700","","20.300",""
"C0Z160","2020-05-13 00:00:00","124.000","0.000","0.000","22.300","0.930","1003.700","","45.500","-99.000","-99.000","-99.000","29.600","","21.900",""
"C0R540","2020-05-13 00:00:00","17.000","47.000","1.800","27.000","0.840","1009.400","","0.000","-99.000","-99.000","-99.000","32.200","","27.000",""
"C0K480","2020-05-13 00:00:00","56.000","0.000","0.000","24.100","0.990","1004.900","","0.000","-99.000","-99.000","-99.000","27.400","","23.700",""
"C0H890","2020-05-13 00:00:00","440.000","0.000","0.000","21.700","0.980","962.200","","28.000","-99.000","-99.000","-99.000","28.000","","21.700",""
"C0S770","2020-05-13 00:00:00","375.000","29.000","0.700","21.900","0.930","971.200","","0.500","-99.000","-99.000","-99.000","29.300","","21.600",""
"C0X230","2020-05-13 00:00:00","29.000","0.000","0.200","23.600","0.900","1009.800","","0.500","-99.000","-99.000","-99.000","29.600","","23.600",""
"C0B010","2020-05-13 00:00:00","38.000","60.000","1.700","21.600","0.980","1007.800","","36.500","-99.000","-99.000","-99.000","23.100","","21.100",""
"C0R490","2020-05-13 00:00:00","49.000","62.000","0.400","26.000","0.880","1005.600","","5.500","-99.000","-99.000","-99.000","31.200","","24.800",""
"C0V440","2020-05-13 00:00:00","27.000","0.000","0.000","26.500","0.850","1008.200","","10.000","-99.000","-99.000","-99.000","31.400","","26.500",""
"C0SA40","2020-05-13 00:00:00","200.000","318.000","0.900","22.100","0.910","991.900","","2.500","-99.000","-99.000","-99.000","31.500","","21.900",""
"C0Z280","2020-05-13 00:00:00","224.000","87.000","0.500","21.500","0.990","990.800","","10.000","-99.000","-99.000","-99.000","29.800","","20.900",""
"C0Z070","2020-05-13 00:00:00","247.000","0.000","0.000","20.400","0.990","986.500","","15.000","-99.000","-99.000","-99.000","29.700","","20.200",""
"CM0180","2020-05-13 00:00:00","313.000","0.000","0.000","22.900","0.970","977.600","","25.000","-99.000","-99.000","-99.000","31.000","","22.300",""
"C0T9N0","2020-05-13 00:00:00","261.000","5.000","1.500","21.200","0.970","985.100","","6.000","-99.000","-99.000","-99.000","30.200","","21.100",""
"C0R800","2020-05-13 00:00:00","131.000","111.000","3.400","25.100","0.810","997.500","","0.000","9.900","104.000","","29.500","","25.100",""
"C0K470","2020-05-13 00:00:00","97.000","116.000","0.500","23.000","0.990","1000.400","","5.000","-99.000","-99.000","-99.000","27.500","","22.900",""
"C0R720","2020-05-13 00:00:00","214.000","3.000","6.200","24.000","0.890","989.300","","0.000","-99.000","-99.000","-99.000","31.400","","24.000",""
"C0V650","2020-05-13 00:00:00","28.000","43.000","1.800","25.400","0.910","1010.500","","12.000","-99.000","-99.000","-99.000","29.200","","25.200",""
"C0R830","2020-05-13 00:00:00","383.000","50.000","4.200","22.200","0.960","969.500","","0.000","-99.000","-99.000","-99.000","31.200","","22.100",""
"C0H9C0","2020-05-13 00:00:00","3402.000","271.000","1.500","5.000","0.960","679.600","","26.500","-99.000","-99.000","-99.000","8.500","","5.000",""
"C0U780","2020-05-13 00:00:00","15.000","224.000","1.300","22.000","0.990","1013.900","","3.000","-99.000","-99.000","-99.000","25.500","","21.800",""
"C0U760","2020-05-13 00:00:00","22.000","0.000","0.000","21.600","0.990","1013.800","","16.000","-99.000","-99.000","-99.000","26.600","","21.300",""
"C0X290","2020-05-13 00:00:00","10.000","33.000","2.200","25.300","0.840","1010.600","","3.500","-99.000","-99.000","-99.000","28.400","","25.300",""
"C0E830","2020-05-13 00:00:00","37.000","26.000","1.800","23.000","0.880","1007.400","","0.000","-99.000","-99.000","-99.000","25.600","","23.000",""
"C0K330","2020-05-13 00:00:00","38.000","161.000","0.400","-99.000","-99.000","1007.000","","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0M660","2020-05-13 00:00:00","40.000","0.000","0.000","23.500","0.930","1007.700","","0.000","-99.000","-99.000","-99.000","27.500","","23.500",""
"C0D580","2020-05-13 00:00:00","120.000","0.000","0.000","20.700","0.980","998.400","","10.000","-99.000","-99.000","-99.000","23.400","","20.700",""
"C0R640","2020-05-13 00:00:00","21.000","320.000","1.300","27.300","0.870","1009.200","","0.500","-99.000","-99.000","-99.000","30.200","","26.600",""
"C0E810","2020-05-13 00:00:00","53.000","0.000","0.000","20.800","0.990","1006.200","","12.500","-99.000","-99.000","-99.000","24.600","","20.800",""
"C0G830","2020-05-13 00:00:00","27.000","343.000","0.500","24.300","1.000","1007.800","","0.000","-99.000","-99.000","-99.000","28.400","","24.300",""
"C0A550","2020-05-13 00:00:00","422.000","0.000","0.000","17.600","1.000","967.800","","9.000","-99.000","-99.000","-99.000","21.700","","17.500",""
"C0G750","2020-05-13 00:00:00","31.000","334.000","0.400","23.900","0.880","1009.000","","-99.000","-99.000","-99.000","-99.000","27.400","","23.600",""
"C0Z270","2020-05-13 00:00:00","343.000","334.000","1.800","20.900","0.990","976.400","","23.500","-99.000","-99.000","-99.000","25.700","","19.900",""
"C0UA30","2020-05-13 00:00:00","1397.000","0.000","0.000","15.900","1.000","862.800","","5.500","-99.000","-99.000","-99.000","20.700","","15.700",""
"C0I080","2020-05-13 00:00:00","536.000","0.000","0.000","19.900","0.980","955.300","","31.500","-99.000","-99.000","-99.000","26.300","","19.900",""
"C0UA00","2020-05-13 00:00:00","392.000","283.000","0.900","19.500","0.980","971.700","","3.000","-99.000","-99.000","-99.000","30.200","","19.300",""
"C0AD40","2020-05-13 00:00:00","32.000","45.000","2.000","22.100","0.790","1010.000","","25.500","-99.000","-99.000","-99.000","23.700","","21.400",""
